budget_measurements,epsilon,method,n,heldout_r2_mean,heldout_r2_std,heldout_r2_sem,mae_mean,mae_std,mae_sem,rmse_mean,rmse_std,rmse_sem,pair_topk_recall_mean,pair_topk_recall_std,pair_topk_recall_sem,confound_abs_coef_mean,confound_abs_coef_std,confound_abs_coef_sem,true_pair_abs_coef_mean_mean,true_pair_abs_coef_mean_std,true_pair_abs_coef_mean_sem,main_topk_overlap_mean,main_topk_overlap_std,main_topk_overlap_sem,omp_k_mean,omp_k_std,omp_k_sem,omp_val_r2_mean,omp_val_r2_std,omp_val_r2_sem,budget_forward_mean,budget_forward_std,budget_forward_sem,budget_backward_mean,budget_backward_std,budget_backward_sem
16,5.0,lifted_omp,3,-0.1987589700570296,0.3710539788718042,0.21422811458551788,0.21030770611985347,0.04977596756589165,0.02873816827334163,0.2774805977403429,0.05130034720363945,0.0296182692675425,0.8333333333333334,0.28867513459481287,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,-0.07084407185315333,0.9270101370632314,0.5352095521749687,16.0,0.0,0.0,0.0,0.0,0.0
24,5.0,lifted_omp,3,0.24372018533671835,0.4049768863021422,0.23381351432211828,0.13667446451678422,0.05026312439323939,0.029019428398748406,0.2076305649749145,0.05825473547945463,0.033633387210633574,0.3333333333333333,0.5773502691896258,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.28867513459481287,0.16666666666666666,3.0,1.0,0.5773502691896258,0.49346998509713114,0.030131654983642002,0.01739651911593466,24.0,0.0,0.0,0.0,0.0,0.0
32,5.0,lifted_omp,3,0.6049281406988652,0.22611784965354173,0.13054920136605166,0.08916151131562593,0.04121636799850412,0.02379628115895503,0.15048271296552573,0.040615842603005735,0.023449567660208833,0.8333333333333334,0.28867513459481287,0.16666666666666666,0.0,0.0,0.0,0.98033615045533,1.6979920210851187,0.9803361504553301,0.8333333333333334,0.2886751345948129,0.16666666666666666,3.0,2.6457513110645907,1.5275252316519468,0.3273556100002745,0.5983741491069597,0.3454714760630165,32.0,0.0,0.0,0.0,0.0,0.0
48,5.0,lifted_omp,3,0.8097987197106539,0.17551529587177167,0.10133380331846421,0.045760911022619304,0.031855356330878416,0.018391698552764107,0.09220689780585188,0.070631799775866,0.04077928861394398,0.8333333333333334,0.28867513459481287,0.16666666666666666,0.0,0.0,0.0,3.2784137523509167,3.22359564036773,1.861143810724813,1.0,0.0,0.0,7.0,7.0,4.041451884327381,0.8879105137677952,0.1357955772428455,0.07840161307591748,48.0,0.0,0.0,0.0,0.0,0.0
56,5.0,lifted_omp,3,0.8204039985528379,0.1955455104523786,0.11289825309850356,0.04575855398590547,0.03698735860784196,0.02135466144885078,0.08616290958002516,0.07092085647698936,0.04094617557814863,0.8333333333333334,0.28867513459481287,0.16666666666666666,0.0,0.0,0.0,3.339366516719887,3.279966322631314,1.893689439304096,1.0,0.0,0.0,3.3333333333333335,0.5773502691896258,0.33333333333333337,0.7148072424189085,0.3740299857165393,0.21594631293843589,56.0,0.0,0.0,0.0,0.0,0.0
64,5.0,lifted_omp,3,0.9534208949104914,0.07736291819363555,0.04466550164439047,0.018566641365131933,0.0167419317655954,0.009665958811620853,0.03795032132668297,0.04656587036993641,0.026884817793132006,1.0,0.0,0.0,0.0,0.0,0.0,5.4719991724816195,1.7371586472921443,1.0029490126392058,1.0,0.0,0.0,3.6666666666666665,0.5773502691896258,0.33333333333333337,0.9185337293398846,0.13801049824708328,0.07968039831394791,64.0,0.0,0.0,0.0,0.0,0.0
72,5.0,lifted_omp,3,0.9978304475317173,0.00013743223718349216,7.934653913322256e-05,0.009425642304615766,0.0004608498528993039,0.00026607178662741305,0.011723718614229101,0.0004940070980058478,0.0002852151310152622,1.0,0.0,0.0,0.0,0.0,0.0,6.514442123208774,0.03824929571507824,0.022083241177413813,1.0,0.0,0.0,5.666666666666667,2.0816659994661326,1.2018504251546631,0.9970655355088343,0.0012715373600279728,0.0007341224370967977,72.0,0.0,0.0,0.0,0.0,0.0
80,5.0,lifted_omp,3,0.9531253827164763,0.07772764280429957,0.044876075496537424,0.017797765355950766,0.01584131489671294,0.009145987419934845,0.03761084542838634,0.04619760747880664,0.026672201113805683,1.0,0.0,0.0,0.0,0.0,0.0,5.4848654154214955,1.7511241390525807,1.0110119930664594,1.0,0.0,0.0,3.6666666666666665,0.5773502691896258,0.33333333333333337,0.9214680922867751,0.13298493003145856,0.07677888515182617,80.0,0.0,0.0,0.0,0.0,0.0
96,5.0,lifted_omp,3,0.997694748821373,0.0005740992891910459,0.0003314563791560373,0.009192590808669666,0.001030095723822008,0.0005947260434397192,0.011737087710011368,0.001536174709580029,0.000886910882098325,1.0,0.0,0.0,0.0,0.0,0.0,6.489860026156189,0.1394741796921754,0.0805254551902797,1.0,0.0,0.0,5.333333333333333,2.3094010767585034,1.3333333333333333,0.9978328974672793,0.0009876420377002407,0.0005702153963292242,96.0,0.0,0.0,0.0,0.0,0.0
112,5.0,lifted_omp,3,0.997894630761305,0.0002155807868900286,0.00012446562534307288,0.008934943042451933,0.0005909448785814661,0.0003411821847252399,0.011412553020014433,0.000662219541226761,0.00038233263038990075,1.0,0.0,0.0,0.0,0.0,0.0,6.528533301077843,0.021067318667501632,0.012163222103785768,1.0,0.0,0.0,4.333333333333333,0.5773502691896257,0.33333333333333337,0.9980238908782315,0.0004188209543058227,0.00024180639071071474,112.0,0.0,0.0,0.0,0.0,0.0
128,5.0,lifted_omp,3,0.9982639545186145,0.00011400808574479912,6.58225989945584e-05,0.008371342232195133,0.00010804579525155913,6.238026897329486e-05,0.010541826255764566,0.000272209290736301,0.00015716010728252034,1.0,0.0,0.0,0.0,0.0,0.0,6.47103306506817,0.04785514358385855,0.027629180030248866,1.0,0.0,0.0,4.0,0.0,0.0,0.9984891409464834,0.0005426266630515652,0.0003132856499822988,128.0,0.0,0.0,0.0,0.0,0.0
192,5.0,lifted_omp,3,0.9978002113777871,0.00041379678290032337,0.00023890568399729056,0.009182424082508366,0.0007676101492998837,0.0004431799263309767,0.0115266119867339,0.0010704631938385093,0.0006180322131202499,1.0,0.0,0.0,0.0,0.0,0.0,6.560411896813149,0.035833910588403614,0.020688717924331773,1.0,0.0,0.0,6.666666666666667,4.618802153517007,2.666666666666667,0.9981256153585188,0.00047032095931825107,0.0002715399324679153,192.0,0.0,0.0,0.0,0.0,0.0
256,5.0,lifted_omp,3,0.9979778870685819,8.679723317859292e-05,5.011240594059341e-05,0.0086002854239997,0.00032537671697249076,0.0001878563351321042,0.0109204855694092,0.00035392486521483953,0.00020433861620468996,1.0,0.0,0.0,0.0,0.0,0.0,6.5039659625578965,0.010329995604961431,0.005964025743252134,1.0,0.0,0.0,4.0,0.0,0.0,0.9970712245581251,0.0006908880085799244,0.00039888437773350773,256.0,0.0,0.0,0.0,0.0,0.0
16,8.0,lifted_omp,3,-0.22312937373419842,0.6227616893408925,0.35955162898195037,0.21240066299858615,0.0835566530080813,0.04824145610679988,0.32303510382913797,0.09024347291135604,0.05210209337797811,0.5,0.5,0.2886751345948129,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.28867513459481287,0.16666666666666666,1.6666666666666667,0.5773502691896257,0.3333333333333333,0.13164820828226828,0.7425909769895294,0.428735100462692,16.0,0.0,0.0,0.0,0.0,0.0
24,8.0,lifted_omp,3,0.3991328933496841,0.22990434057220996,0.13273533291722883,0.144211482777239,0.031863212522921756,0.018396234327355133,0.2227898774183438,0.035758121743987105,0.020644961214606367,1.0,0.0,0.0,0.0,0.0,0.0,1.6808267829496122,2.9112773867912733,1.6808267829496122,0.5,0.0,0.0,1.3333333333333333,0.5773502691896258,0.3333333333333333,0.2801730080449141,0.5569830330910673,0.321574304089182,24.0,0.0,0.0,0.0,0.0,0.0
32,8.0,lifted_omp,3,-0.21047176150562988,0.3264748380085038,0.18849033560784914,0.21504924374871662,0.037266911676649084,0.02151606148837935,0.32190771928763734,0.05039673267746257,0.029096567177610614,0.16666666666666666,0.2886751345948129,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.3333333333333335,1.1547005383792517,0.6666666666666666,0.1717375191323636,0.18690284570290033,0.1079084082788766,32.0,0.0,0.0,0.0,0.0,0.0
48,8.0,lifted_omp,3,0.38054998353424674,0.5812299070539261,0.33557324329864546,0.1284950957366177,0.11570214000530248,0.06680066167787715,0.19400186815791817,0.16396764934675626,0.0946667664887399,0.6666666666666666,0.5773502691896258,0.33333333333333337,0.0,0.0,0.0,3.451574240253668,5.978301950215299,3.451574240253668,0.6666666666666666,0.2886751345948129,0.16666666666666666,2.6666666666666665,1.5275252316519468,0.8819171036881969,0.07120929202204358,1.004880632270788,0.5801681035449808,48.0,0.0,0.0,0.0,0.0,0.0
56,8.0,lifted_omp,3,0.462836834435883,0.4865678563575389,0.2809200828470443,0.11157773128328835,0.08905437806686231,0.051415569149417674,0.18263887687580607,0.14579500097853668,0.08417478306145991,0.6666666666666666,0.5773502691896258,0.33333333333333337,0.0,0.0,0.0,3.46281015444266,5.997763124460118,3.46281015444266,0.6666666666666666,0.2886751345948129,0.16666666666666666,4.666666666666667,4.041451884327381,2.3333333333333335,-0.08071084581200416,1.2349009315734667,0.7129703852664606,56.0,0.0,0.0,0.0,0.0,0.0
